codigo_ibge,municipio,estado,mesorregiao,microrregiao,populacao_censo_2022,populacao_estimada_ultimo_ano,ano_estimativa,sexo_masculino,sexo_feminino,sexo_total,faixa_0_14,faixa_15_59,faixa_60_mais,faixa_total,cor_branca,cor_preta,cor_parda,cor_amarela,cor_indigena,cor_total,taxa_alfabetizacao_15_mais,taxa_analfabetismo_15_mais,pop_urbana,pop_rural,taxa_urbana,taxa_rural,renda_per_capita,pct_vulneraveis_pobreza,ano_renda_vulnerabilidade
2203271,Curral Novo do Piauí,PI,Sudeste Piauiense,Alto Médio Canindé,5073,5191,2025,2568,2505,5073,1228,3243,602,5073,1050,508,3507,4,2,5073,73.78,26.22,2365,2708,46.62,53.38,186.24,78.93,2010
2203255,Curralinhos,PI,Centro-Norte Piauiense,Teresina,4413,4555,2025,2238,2175,4413,1074,2625,714,4413,515,652,3242,1,3,4413,78.62,21.38,1828,2585,41.42,58.58,193.65,75.25,2010
2203305,Demerval Lobão,PI,Centro-Norte Piauiense,Teresina,16352,17139,2025,7944,8408,16352,3684,10444,2224,16352,2857,1630,11855,7,3,16352,85.44,14.56,13766,2586,84.19,15.81,311.48,58.34,2010
2203354,Dirceu Arcoverde,PI,Sudoeste Piauiense,São Raimundo Nonato,7054,7259,2025,3633,3421,7054,1526,4349,1179,7054,2171,663,4190,25,5,7054,76.19,23.81,2784,4270,39.47,60.53,265.3,63.74,2010
2203404,Dom Expedito Lopes,PI,Sudeste Piauiense,Picos,6320,6410,2025,3122,3198,6320,1091,4063,1166,6320,2596,350,3373,1,,6320,81.03,18.97,3754,2566,59.4,40.6,300.31,64.09,2010
2203453,Dom Inocêncio,PI,Sudoeste Piauiense,São Raimundo Nonato,9159,9332,2025,4786,4373,9159,1682,5838,1639,9159,3200,1005,4951,,3,9159,80.71,19.29,2978,6181,32.51,67.49,177.27,77.15,2010
2203420,Domingos Mourão,PI,Centro-Norte Piauiense,Campo Maior,4075,4129,2025,2082,1993,4075,941,2491,643,4075,1312,247,2506,9,1,4075,76.45,23.55,930,3145,22.82,77.18,240.24,71.83,2010
2203503,Elesbão Veloso,PI,Centro-Norte Piauiense,Valença do Piauí,13607,13743,2025,6592,7015,13607,2437,8378,2792,13607,2394,1672,9517,23,1,13607,75.14,24.86,9755,3852,71.69,28.31,283.38,60.76,2010
2203602,Eliseu Martins,PI,Sudoeste Piauiense,Bertolínia,4377,4421,2025,2229,2148,4377,818,2698,861,4377,741,572,3063,,1,4377,80.56,19.44,3447,930,78.75,21.25,370.7,57.52,2010
2203701,Esperantina,PI,Norte Piauiense,Baixo Parnaíba Piauiense,40970,42710,2025,20192,20778,40970,9036,26059,5875,40970,7915,4733,28283,21,18,40970,78.04,21.96,25104,15866,61.27,38.73,293.39,61,2010
2203750,Fartura do Piauí,PI,Sudoeste Piauiense,São Raimundo Nonato,5284,5426,2025,2735,2549,5284,1252,3184,848,5284,855,878,3550,,1,5284,74.23,25.77,1380,3904,26.12,73.88,186.85,73.7,2010
2203800,Flores do Piauí,PI,Sudoeste Piauiense,Floriano,4414,4512,2025,2227,2187,4414,932,2684,798,4414,713,618,3082,1,,4414,74.15,25.85,1945,2469,44.06,55.94,210.02,75.82,2010
2203859,Floresta do Piauí,PI,Sudeste Piauiense,Alto Médio Canindé,2333,2354,2025,1167,1166,2333,378,1442,513,2333,419,173,1737,,4,2333,65.32,34.68,991,1342,42.48,57.52,216.87,68.23,2010
2203909,Floriano,PI,Sudoeste Piauiense,Floriano,62036,64393,2025,29483,32553,62036,12499,40199,9338,62036,11613,12691,37416,132,184,62036,89.8,10.2,55966,6070,90.22,9.78,536.3,42.5,2010
2204006,Francinópolis,PI,Centro-Norte Piauiense,Valença do Piauí,4505,4481,2025,2203,2302,4505,900,2601,1004,4505,448,746,3308,1,2,4505,70.96,29.04,2829,1676,62.8,37.2,206.73,74.73,2010
2204105,Francisco Ayres,PI,Centro-Norte Piauiense,Médio Parnaíba Piauiense,4412,4548,2025,2175,2237,4412,948,2494,970,4412,683,556,3168,3,2,4412,73.82,26.18,2135,2277,48.39,51.61,268.41,63.2,2010
